,titles,offers,locations,titles_clean
0,Dostavljač pločastog i tapaciranog namještaja (m/ž),"EKSA SOFFY d.o.o. SARAJEVO
Safeta Zajke 233
Sarajevo
Djelatnost: Prodaja tapaciranog, pločastog i drvenog namještaja
RADNO MJESTO: DOSTAVLJAČ PLOČASTOG I TAPACIRANOG NAMJEŠTAJA
Opis poslova:
Dostava tapaciranog i pločastog namještaja u stan kupca
Montaža namještaja (uz asistenciju glavnog montera ukoliko nemate iskustva)
Istovar i utovar namještaja
Skladištenje robe koja neće ići odmah u prodaju
Pri preuzimanju robe provjera kvaliteta i količine primljene robe
Ostali poslovi vezani za isporuku i montažu
Obavezni uslovi:
SSS
Iskustvo na istim ili sličnim poslovima,
Vozačka dozvola B  kategorije, poželjno iskustvo u vožnji kombija
Snalažljivost, odgovornost i ozbiljnost za poslove koje radi, pedantnost
Radna etika, blagovremeno ispunjavanje preuzetih obaveza, timski rad 
Dodatni uslovi:
Rad u prijatnom, profesionalnom i dinamičnom radnom okruženju,
Mogućnost za napredovanje,
Plata 1200 KM-1500 KM (zavisno od iskustva )
Svaka druga subota neradna, nedjelja neradna
Radno vrijeme 8 sati
Da li je radno iskustvo uslov: radno iskustvo poželjno
Platni razred: 1200-1500 KM zavisno od iskustva i sposobnosti
Razgovor sa kandidatima: DA sa izabranim kandidatima
  Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".
Kontakt osoba: Aida
Kontakt telefon: 061714906","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.06.2024. u 14:40
Oglas ističe: 20.07.2024. u 14:40",Dostavljač pločastog i tapaciranog namještaja
1,Radnik na benzinskoj stanici - prodavač (m/ž),"G-Petrol d.o.o. Sarajevo posluje na području Bosne i Hercegovine od 2013.godine i dio je kompanije NIS a.d. Novi Sad, jedne od najvećih energetskih kompanija u jugoistočnoj Evropi. Bavimo se prodajom nafte i naftnih derivata kroz kanal veleprodaje i razvijenu maloprodajnu mrežu koja obuhvata 42 benzinske stanice. Naš tim u Bosni i Hercegovini broji preko 500 talentovanih, stručnih i vrijednih ljudi. Radoznali smo i otvoreni za inovacije, svježinu i energiju koju u naš tim unosi svaki novi pojedinac. 
Uslijed konstantnog razvoja, povećanja obima posla i zahtjeva tržišta stalno smo u potrazi za kandidatima koji će doprinijeti uspješnom poslovanju naših benzinskih stanica.
Radnik na benzinskoj stanici – Točilac goriva/Operater/Prodavač (m/ž)
OSNOVNE OBAVEZE I ODGOVORNOSTI:
Prodaja svih vrsta roba dodatnog asortimana, točenje goriva i pružanje usluga
Naplata i rad na kasi u skladu sa zakonskim propisima i Standardom Društva 
Aktivna prodaja maziva i dopunskog asortimana, informisanje kupaca o trenutnim akcijama
Prijem, kontrola isporučene robe i izlaganje 
Održavanje higijene prostorija i opreme
Učestvovanje u periodičnim popisima robe u poslovnoj jedinici
POTREBNI USLOVI I KVALIFIKACIJE:
Minimum III ili IV stepen stručne spreme
Poželjno iskustvo rada u maloprodaji
Poželjno poznavanje rada na računaru
Poželjno poznavanje engleskog jezika
Izražena komunikativnost, motivisanost za rad i orijentisanost na kupca
Spremnost na rad u smjenama
Ukoliko ispunjavate uslove konkursa molimo Vas da se prijavite putem opcije: ""Prijavite se na oglas"".
  Lokacija: Sarajevo, Tuzla, Veljaci (Ljubuški), Široki Brijeg, Mostar, Šepak, Banja Luka, Trn - Laktaši, Doboj, Prnjavor, Cazin, Bihać, Šamac, Janja","Mjesto rada: Više lokacija
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 15
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.06.2024. u 10:39
Oglas ističe: 20.07.2024. u 23:59",Radnik na benzinskoj stanici - prodavač
2,Trgovac (m/ž),"Osnovni zadaci i odgovornosti:
Vrši prodaju robe iz asortimana poslodavca
Odgovoran je za pravilan odnos prema kupcima
Odgovoran je za stanje robe u odjelu prodavnice u kojem je raspoređen i solidarno sa prodavačima i poslovođom prodavnice snosi materijalnu odgovornost za istu
Pakovanje i aranžiranje isporučene robe
Vodi svu potrebnu dokumentaciju za stanje robe u posebnom odjelu
Provjerava podatke o kvaliteti robe na posebnom odjelu
Kontaktira sa kupcima i poslovnim partnerima vezano za prodaju i nabavku robe na posebnom odjelu
Obavlja i druge poslove po nalogu direktora ili voditelja trgovačkog centra
Obavezni uslovi:
SSS
Prednost iskustvo na istim ili sličnim poslovima
Poznavanje rada na računaru
Fleksibilnost i pouzdanost
Dobre komunikacijske vještine
Dobre organizacijske sposobnosti
Oglas ostaje otvoren do 17.07.2024.godine.
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 5
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 16:01
Oglas ističe: 17.07.2024. u 23:59",Trgovac
3,Radnik za sklapanje šatora i druge prateće opreme (m/ž),"Od kandidata očekujemo:
SSS
Obavezna B kategorija
Fleksibilnost u radu
Radno iskustvo nije obavezno
Nudimo Vam:
Stalni radni odnos
Uredna prijeva na penziono i zdravstveno
Ugodnu radnu atmosferu
Zainteresovani kandidati nas mogu kontaktirati na broj telefona: 061/220-634
Vaše prijave možete poslati i putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:58
Oglas ističe: 19.07.2024. u 13:58",Radnik za sklapanje šatora i druge prateće opreme
4,Prodavač u maloprodaji (m/ž),"Ako ste osoba puna kreativnosti, motivacije i ljubavi prema radu u dinamičnom timskom okruženju, ovo je prava prilika za vas!
Azel France objavljuje konkurs za zapošljavanje na poziciji trgovca u našim poslovnim jedinicama u Sarajevu.
Opis poslova i odgovornosti:
Prijem, pozicioniranje, izlaganje i prodaja robe
Pružanje pomoći kupcima i savjetovanje u vezi sa prodajom
Upoznavanje kupaca sa asortimanom
Praćenje prodaje i dopuna asortimana u prodajnoj jedinici
Saradnja sa timom u poslovnici i rad u skladu sa standardima kompanije
Rad na kasi u skladu sa zakonskim i internim procedurama
Briga o maloprodajnoj jedinici
Saradnja sa drugim odjelima kompanije
Druge prodajne aktivnosti
Uslovi koje kandidat treba da ispunjava:
Minimalno SSS
Poželjno radno iskustvo u maloprodaji
Poželjno znanje o radu na kasi
Kreativnost, komunikativnost, ambicioznost i odgovornost
Želja za radom u dinamičnom okruženju
Spremnost na učenje i usavršavanje
Želja za napredovanjem
Nudimo:
Rad u stabilnoj kompaniji
Mogućnost profesionalnog razvoja
Dinamično radno okruženje
Redovna i stimulativna mjesečna primanja
Kako se prijaviti:
Za prijavu na ovu poziciju, molimo vas da pošaljete svoj CV putem opcije: ""Prijavite se na oglas"".
Nakon pregleda aplikacija, kontaktiraćemo odabrane kandidate za intervju.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:36
Oglas ističe: 19.07.2024. u 13:36",Prodavač u maloprodaji
5,Agent za teleprodaju (m/ž),"Ovo je možda najvažniji oglas u tvojoj novoj karijeri. Telemach BH je vodeći provajder usluga digitalne TV, interneta i fiksne telefonije u BiH. Naš rad odlikuje proaktivnost, inovativnost i implementacije novih ideja, a uz jak timski duh uspjevamo ostvariti uspjeh koji privlači ambiciozne i interesantne ljude. Zadovoljni, motivirani i predani zaposlenici savršeno se isprepliću sa našom vrhunskom mrežom i tehnologijom. 
Pridružite nam se da možemo kreirati izvrsnost i zajedno se razvijati i napredovati! 
Mjesto rada Zenica, Sarajevo 
  Uslovi i opis odgovornosti
Kontaktiranje potencijalnih korisnika i prodaja usluga
Briga o korisničkom iskustvu 
Upornost u postizanju prodajnih zadatih ciljeva i želja za napredovanjem
Izražene prodajne i komunikacijske vještine
Želja za radom u timu
Otvorenost i uvjerljivost u komunikaciji
Potrebne kvalifikacije
Minimum IV stepen stručne spreme
Poznavanje rada na računaru (MS Office paket)
Prethodno radno iskustvo u direktnoj retail prodaji
Zašto izabrati nas?
Rad u mladom i dinamičnom timu
Stabilno zaposlenje i prilike za napredovanja uz stalno usavršavanje
Profesionalna edukacija u segmentu prodaje i komunikacije
Uvođenje u posao kroz strukturirani program mentorstva
Sigurna primanja i mogućnost ostvarivanja stimulativnih prodajnih bonusa
Dodatni programi i benefiti kao podrska našim zaposlenim
Ako ste spremni raditi u našem timu i želite saznati zašto smo jedan od najpoželjnijih poslodavaca u BiH posljednjih 10 godina pošaljite CV putem opcije: ""Prijava kod poslodavca"" do 30.06.2024. godine.
Samo kandidati koji uđu u uži izbor će biti kontaktirani za intervju. 
*Pristanak na obradu ličnih podatak u okviru prijave na otvoreni oglas za posao je dobrovoljan i koristiti će se isključivo za svrhu obrade i evaluacije Vaše prijave na oglas za posao. Telemach BH neće ustupiti ili otkriti lične podatke trećoj strani osim ako takvo otkrivanje ličnih podataka nije zakonom propisano.","Mjesto rada: Više lokacija
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:34
Oglas ističe: 01.07.2024. u 23:59",Agent za teleprodaju
6,Savjetnik u prodajnom mjestu (m/ž),"Savjetnik u prodajnom mjestu
Mjesto rada:  Sarajevo - 1 izvršilac
 Ključne odgovornosti i aktivnosti posla:
Direktna prodaja i savjetovanje kupaca u prodajnom mjestu
Naplata usluga, rad sa gotovinom i zaključivanje blagajne
Pružanja svih relevantnih informacija za korištenje usluga
Evidentiranje rješavanje reklamacija korisnika
Promocija i administracija prodajnog mjesta
Odgovornost za kvalitet pružanja usluge prema korisnicima iz domena poslovanja Telemach BH
  Kvalifikacije potrebne za rad: 
Minimalno IV stepen stručne spreme 
Poznavanje rad ana računaru i engleskog jezika
Minimalno 1 godina radnog iskustva na istim ili sličnim poslovima
  Dodatne vještine potrebne za uspješno obavljanje poslova: 
Profesionalan pristup prodaji i briga o korisniku
Izražena komunikativnost i prezentacijske vještine 
Spremnost na timski rad I fleksibilnost
Odgovornost i orjentiranost na rezultate
  Zašto izabrati nas?
Stabilno zaposlenje i mogućnost dodatne zarade kroz stimulativne bonuse
Kontinuiran razvoj kroz profesionalnu edukaciju u segmentu prodaje i komunikacije
Mogućnost razvoja profesionalne karijere unutar kompanije
Izazovan posao i kontakt sa različitim ljudima
Rad u mladom i dinamičnom timu
Podršku tokom uvođenja u posao kako bi dosegnuli svoj puni potencijal
Dodatni programi i benefiti kao podrška našim zaposlenim
  Želite znati zašto smo već 10 godina na listi najpoželjnijih poslodavaca u BiH? Prijavite se putem opcije: ""Prijava kod poslodavca"" do 30.06.2024. godine.
Samo kandidati koji uđu u uži izbor će biti kontaktirani za intervju. 
 *Pristanak na obradu ličnih podatak u okviru prijave na otvoreni oglas za posao je dobrovoljan i koristiti će se isključivo za svrhu obrade i evaluacije Vaše prijave na oglas za posao. Telemach BH neće ustupiti ili otkriti lične podatke trećoj strani osim ako takvo otkrivanje ličnih podataka nije zakonom propisano.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:28
Oglas ističe: 01.07.2024. u 13:28",Savjetnik u prodajnom mjestu
7,Elektromehaničar (m/ž),"Firma Grizelj-Group d.o.o.  traži elektromehaničara za rad u dinamičnom i rastućem okruženju. 
Ključne odgovornosti:
Održavanje popravak instalacija i elektromehaničkih sistema opreme.
Uvjeti:
SSS/VSS tehničkog smjera (ili srodno)
Iskustvo sa alatima i opremom za održavanje i popravak
Sposobnost samostalnog rada kao i rada u timu
Vozačka dozvola B kategorije (poželjno)
Nudimo:
Mogućnost profesionalnog razvoja
Rad u stimulativnom i ugodnom radnom okruženju 
Sigurnost radnog mjesta i priliku za napredovanje 
Ako ispunjavate navedene uvjete i spremni ste za rad  svoju prijavu pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:22
Oglas ističe: 19.07.2024. u 13:22",Elektromehaničar
8,Blagajnik (m/ž),"KONKURS
Za prijem na radno mjesto: 
BLAGAJNIK,1 izvršilac
Pored opštih uslova utvrđenih zakonom, potrebno je da kandidati ispunjavaju sljedeće posebne uslove:
Srednja, visoka ili viša stručna sprema
Radno iskustvo na istim ili sličnim poslovima
Izražene komunikacijske vještine
Poznavanje rada na računaru
  Glavne odgovornosti: 
Prijem, kontrola i unos naloga po računima
Evidencija najava plaćanja, uplata i isplata
Ažuriranje matičnih podataka
Pružanje potrebnih informacija
Rad sa depozitima
Ukoliko volite rad u dinamičnom radnom okruženju, rad u timu i spremni ste da učite i profesionalno se usavršavate pošaljite Vašu prijavu i pridružite se našem timu! 
Zainteresovani kandidati mogu svoje molbe sa biografijom dostaviti putem opcije: ""Prijavite se na oglas"".
Konkurs ostaje otvoren do dana 01.07.2024. godine.
Nepotpune i neblagovremene  molbe neće se razmatrati.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:17
Oglas ističe: 01.07.2024. u 23:59",Blagajnik
9,Elektrotehničar (m/ž),"Firma Grizelj-Group d.o.o traži elektrotehničara za rad u dinamičnom i rastućem okruženju.
Ključne odgovornosti:
Instalacija,održavanje i popravak električnih sistema i opreme.
Uvjeti:
SSS/VSS tehničkog smjera ili srodno 
Iskustvo u radu sa električnim aparatima i opremom 
Sposobnost samostalnog rada kao i rada u timu 
Vozačka dozvola B kategorije (poželjno)
Nudimo:
Mogućnost profesionalnog razvoja 
Rad u stimulativnom i ugodnom radnom okruženju
Sigurnost radnog mjesta i priliku za napredovanje
Ako ispunjavate navedene uvjete i spremni ste za rad, svoju prijavu pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.06.2024. u 13:17
Oglas ističe: 19.07.2024. u 13:17",Elektrotehničar
