,titles,offers,closest_green_isco,NACE,location
0,Call Center Agent (m/w/d) für ein renommiertes Heizungsunternehmen,"Call Center Agent (m/w/d) für ein renommiertes Heizungsunternehmen
Wenn Kund:innen noch lange nach deinem Service von deiner Kompetenz und Freundlichkeit begeistert sind, dann bist du bei TELUS International genau richtig. Es ist ein besonderes Talent, Menschen am Telefon das Gefühl zu geben, in den besten Händen zu sein. Wir suchen begeisterungsfähige Kundenberater:innen, die Kund:innenservice in bester Qualität leben möchten.

Was wir bieten:
Home-Office nach Einarbeitungsphase möglich
Fixer Stundenlohn von 1520 BAM netto und attraktive Bonusmöglichkeiten
Einen unbefristeten Arbeitsvertrag
Willkommensbonus in Höhe von 500 BAM brutto
Prämien für Mitarbeiterempfehlungen in Höhe von 700 BAM brutto
Anspruchsvolle und abwechslungsreiche Inbound-Tätigkeit
Flexible Arbeitszeitengestaltung für eine gute Work-Life-Balance
Top-Auftraggeber
Tolle Büroräumlichkeiten und moderne Arbeitsplätze
Ein hochmotiviertes und engagiertes Team
Die Chance, sich zu einem Top-Dienstleistungsprofi weiterzuentwickeln
Interne Fort- und Weiterbildungsmöglichkeiten, sowie Aufstiegschancen
Positives internationales Arbeitsumfeld
Deine Aufgaben im Überblick:
Schnelles und sicheres Erkennen von Kund:innenwünschen und optimale Hilfestellung bieten
Terminvereinbarung und Koordination von Technikeinsätzen
Annahme der Störungsmeldungen für ein renommiertes Unternehmen aus der Heizungsbranche
Priorisierung und termingerechte Abwicklung von Serviceaufträgen
Eigenständige Beantwortung und Bearbeitung von Reklamationen und Kund:innenanfragen
Mit Sympathie und Engagement für zufriedene Kunden und Kundinnen sorgen
Was wir erwarten:
Kommunikationstalent mit sehr guten Deutschkenntnissen in Wort und Schrift
Interesse an abwechslungsreicher und anspruchsvoller Arbeit
Freude am Kundenkontakt und Empathie im Umgang mit verschiedensten Kundenanfragen
Gutes Organisations- und Kommunikationsgeschick
Begeisterung für Teamwork
Gute PC-Anwenderkenntnisse
Verfügbarkeit in der Zeit von Mo.-So. 07:00 – 22:00 Uhr
Hast du Spaß am Kundenkontakt? Dann bewirb dich gleich!

Unser Recruiting-Team steht dir jederzeit für Fragen unter +387 33 876 543 zur Verfügung und freut sich auf deine aussagekräftige Bewerbung auf Deutsch mit Angabe des frühesten Eintrittstermins.

Arbeitgeber mit Chancengleichheit
TELUS International ist stolz darauf, ein Arbeitgeber der Chancengleichheit zu sein, und setzt sich für die Umsetzung eines vielfältigen und integrativen Arbeitsplatzes ein. Alle Aspekte der Beschäftigung, einschließlich Einstellungs - und Beförderungsentscheidung, beruhen auf der Qualifikation, den Fähigkeiten, der Kompetenz und der Leistung der Bewerber ohne Berücksichtigung von Eigenschaften im Zusammenhang mit der Vielfalt. 

Bewerber:innen mit besonderen Bedürfnissen werden bei gleicher Eignung bevorzugt berücksichtigt.

Über uns: Seit unserer Gründung 1998 ist ausgezeichneter Kund:innenservice unsere Leidenschaft – 2020 sind wir den nächsten Schritt gegangen und nun Teil von TELUS International. Seitdem bieten international fast 68.000 Teammitglieder in über 50 Sprachen Kund:innenservice auf höchstem Niveau – und das für weltweit agierende und angesehene Partner.

Unser Standort:

CCC d.o.o. Sarajevo a member a member of TELUS International Group 

Trg međunarodnog prijateljstva bb

71000 Sarajewo, Bosnien und Herzegowina

+387 33 876 543
Lokacija: Sarajevo (Hibridni rad)
Broj izvršilaca: 6
Datum objave: 01.06.2024.
Trajanje oglasa: 30 dana (ističe 01.07.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2144,N, Sarajevo
8,Tehnička podrška za polaganje optičkih kablova na terenu (m/ž),"Tehnička podrška za polaganje optičkih kablova na terenu (m/ž)
Tehnička podrška za polaganje optičkih kablova na terenu (m/ž)

Ko smo mi?

Kompanija Glasfaser Connect BH osnovana je 2017. godine nastala je kao sestrinska firma njemacke kompanije mih GmbH (https://www.mih-gmbh.de). Kompanija mih GmbH nastala je 2011. godine u Münsteru sa fokusom na poslovima izgradnje cesta i asfaltiranju. 

Danas je ova kompanija jedan od najvećih izvođača kompletnih rješenja za izgradnju FTTH mreža optičkog interneta u Evropi. U 2022. godini, kompanija je ostvarila  112000 kućnih priključaka sa oko 1300 zaposlenika u kancelariji i na gradilištima, uključujući i podizvođače.

Uvjeti:
SSS – srednja stručna sprema (prednost tehničke škole)
Obavezno odlično poznavanje AutoCad
Obavezno poznavanje EXCEL-a
Poznavanje rada na računaru 
Poznavanje njemačkog ili engleskog jezika će se smatrati prednošću
Obavezan rad u 2 smjene
Rad iz kancelarije u Sarajevu
Opis posla:
Support/podrška izvođačima na terenu (odgovaranje na poruke/upite kolega sa terena i slanje informacija potrebnih za izvođenje radova na terenu)
Evidencija izvedenih radova na terenu
Ucrtavanje skica I topografije objekata u AutoCad-u
Unos I kontrola adresa
Priprema planova u dwg I pdf format-u
Od Vas očekujemo:
Detaljan rad i preciznost u radu 
Profesionalnost, ozbiljnost i korektnost u poslu
Sklonost timskom radu
Entuzijazam, kreativnost i sklonost ka ostvarivanju zadatih ciljeva
Nudimo Vam:
Posao u stabilnoj inostranoj kompaniji koja bilježi rast iz godine u godinu;
Odlične uslove rada;
Mogućnost stručnog usavršavanja;
Priliku da u potpunosti iskažete i dalje unaprijedite svoja profesionalna znanja i kompetencije.
Prijave dostaviti putem opcije ""PRIJAVI SE NA OGLAS"".
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 31.05.2024.
Trajanje oglasa: 30 dana (ističe 30.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3119,F, Sarajevo
10,Lohn/Gehaltsabrechnung,"Lohn/Gehaltsabrechnung
Lohn/Gehaltsabrechnung

Basierend auf dem angegebenen Bedarf schreibt das Unternehmen Glasfaser Connect BH d.o.o. ein Auswahlverfahren für folgende Stelle aus:

Mitarbeiter Lohn- und Gehaltsabrechnung

Ihr Profil:
Relevante kaufmännische Ausbildung
Sehr gute Deutschkenntnisse in Wort und Schrift (eliminatorisch)
Erfahrung mit der Lohn/ Gehaltsabrechnung
Gute MS Office Kenntnisse
Der Besitz eines Zertifikats im Rechnungswesen wird als Vorteil gewertet
Sie besitzen ein hohes Maß an Zuverlässigkeit, Genauigkeit sowie Flexibilität und arbeiten gerne im Team
 Ihre Aufgaben:
Durchführung der Lohn- und Gehaltsabrechnung
Allgemeine Personalverwaltung
Zusammenarbeit mit der Personalabteilung in Deutschland
Kompetenter Ansprechpartner für Mitarbeiter, Vorgesetzte und das Steuerbüro
Unser Angebot:
Arbeitsplatz in einem stabilen ausländischen Unternehmen, das von Jahr zu Jahr wächst
Hervorragende Arbeitsbedingungen
Möglichkeit zur beruflichen Weiterentwicklung
Möglichkeit,Ihre beruflichen Kenntnisse und Kompetenzen voll auszudrücken und weiter zu verbessern
Arbeitsplatz: Sarajevo

Senden Sie uns bitte Ihre aussagekräftigen Bewerbungen an ""PRIJAVI SE NA OGLAS"".
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 31.05.2024.
Trajanje oglasa: 30 dana (ističe 30.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",1213,M, Sarajevo
12,Savjetnik pri prodaji suplemenata,"Savjetnik pri prodaji suplemenata
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 29.05.2024.
Trajanje oglasa: 15 dana (ističe 13.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Banja Luka
14,Prodavač,"Prodavač
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 29.05.2024.
Trajanje oglasa: 15 dana (ističe 13.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Banja Luka
16,Prodavač,"Prodavač
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 28.05.2024.
Trajanje oglasa: 30 dana (ističe 27.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
17,Prodavač,"Prodavač
Raspisujemo konkurs za radnu poziciju:

Prodavač

Banjaluka, Mobileland, iHave Tržni centar Delta

Uslovi:
Odgovorna osoba, 
spremna za rješavanje problema, 
sposobna za timski rad, za učenje i usavršavanje, 
posvećena i lojalna,
poznavenje mobilnih telefona i gadget uredjaja,
potrebno radno iskustvo.
Konkretna zaduženja:
Izlaganje artikala, 
prezentovanje istih potrošačima, 
direktan kontakt sa potrošačima rad u programu i sa kasom.
Molimo vas da nam pošaljete Vaš CV ili motivaciono pismo putem opcije ""PRRIJAVI SE NA OGLAS"".
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 2
Datum objave: 22.05.2024.
Trajanje oglasa: 30 dana (ističe 21.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Banjaluka
18,Prodavač,"Prodavač
Lokacija: Sarajevo (Alta), Sarajevo (Bare-Šip), Sarjevo (Markale), Sarajevo (Ciglane), Vogošća (Rad iz firme)
Broj izvršilaca: 10
Datum objave: 21.05.2024.
Trajanje oglasa: 31 dana (ističe 21.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
19,Prodavač (m/ž),"Prodavač (m/ž)
PRODAVAČ



Odgovorni ste za:
preuzimanje, sortiranje i slaganje robe, te provjeru stanja i kvalitete artikala,
usluživanje kupaca i pomaganje pri izboru, te prodaji i obračunu robe,
osiguravanje čistoće, urednosti i higijensko-zdravstvene ispravnosti namirnica, uređaja i radnih prostorija.
Od Vas očekujemo:
SSS,
poželjno radno iskustvo u trgovini,
spremnost na dinamičan rad,
izražene komunikacijske vještine,
ljubaznost i uslužnost.
Nudimo Vam:
izazovno i dinamično radno okruženje,
poticajnu i podržavajuću radnu sredinu,
mogućnost kontinuiranog učenja i usavršavanja.
Vašu prijavu možete poslati putem opcije ""PRIJAVI SE NA OGLAS"".
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 21.05.2024.
Trajanje oglasa: 30 dana (ističe 20.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Sarajevo
20,Prodavač,"Prodavač


ZAPOŠLJAVAMO PRODAVAČE!

Pridruži nam se i postani dio našeg uspješnog tima!

Mjesto rada: Jadranska obala i otoci

Očekujemo od Vas:
SSS
odgovoran pristup radnim zadacima
dinamičnost
sklonost timskom radu
Nudimo Vam:
osiguran smještaj ovisno o dogovorenoj lokaciji rada
konkurentna osnovna primanja
mogućnost dodatne zarade kroz sustav nagrađivanja
mogućnost dodatnog usavršavanja i napredovanja
ugovor na određeno vrijeme s mogućnošću produljenja
Vašu prijavu nam možete poslati putem opcije ""PRIJAVI SE NA OGLAS"". 
Lokacija: Jadranska obala i otoci (Rad iz firme)
Broj izvršilaca: 30
Datum objave: 20.05.2024.
Trajanje oglasa: 30 dana (ističe 19.06.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",5211,G, Jadranska obala
